Grid, Threads, Ass4_Serial, Ass4_Parallel, Deferred_Serial, Deferred_Parallel
250x100, 2, 3.251937, 0.457879, 3.428642, 1.321704
250x100, 4, 3.251937, 0.268532, 3.428642, 0.999838
250x100, 8, 3.251937, 0.253084, 3.428642, 1.044031
250x100, 16, 3.251937, 0.266388, 3.428642, 1.075802
500x200, 2, 3.138342, 0.442013, 3.327897, 1.302093
500x200, 4, 3.138342, 0.263698, 3.327897, 0.978572
500x200, 8, 3.138342, 0.257763, 3.327897, 1.045526
500x200, 16, 3.138342, 0.271624, 3.327897, 1.079263
1000x400, 2, 3.149314, 0.451810, 3.329491, 1.302645
1000x400, 4, 3.149314, 0.252980, 3.329491, 0.983087
1000x400, 8, 3.149314, 0.258719, 3.329491, 1.050821
1000x400, 16, 3.149314, 0.279151, 3.329491, 1.047748
