config,threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
a,1,0.150000,0.000000,0.180000,0.000000,0.330000,1
a,2,0.130000,0.000000,0.190000,0.000000,0.320000,1
a,4,0.150000,0.000000,0.210000,0.000000,0.360000,1
a,8,0.160000,0.000000,0.200000,0.000000,0.360000,1
a,16,8.610000,0.900000,0.570000,0.490000,10.570000,1
b,1,0.640000,0.000000,0.840000,0.000000,1.480000,9
b,2,0.680000,0.000000,0.770000,0.000000,1.450000,9
b,4,0.660000,0.000000,0.860000,0.000000,1.520000,9
b,8,0.770000,0.000000,0.920000,0.000000,1.690000,9
b,16,9.250000,0.900000,1.510000,0.420000,12.080000,9
c,1,0.590000,0.000000,0.730000,0.000000,1.320000,0
c,2,0.550000,0.000000,0.690000,0.000000,1.240000,0
c,4,0.690000,0.000000,0.810000,0.000000,1.500000,0
c,8,0.840000,0.000000,0.930000,0.010000,1.780000,0
c,16,9.290000,0.880000,1.410000,0.450000,12.030000,0
d,1,3.030000,0.000000,3.770000,0.000000,6.800000,2
d,2,3.080000,0.000000,3.790000,0.000000,6.870000,2
d,4,3.420000,0.000000,4.190000,0.000000,7.610000,2
d,8,3.950000,0.000000,4.780000,0.000000,8.730000,2
d,16,12.790000,0.810000,5.900000,0.440000,19.940000,2
e,1,2.170000,0.020000,2.650000,0.000000,4.840000,0
e,2,2.170000,0.020000,2.750000,0.000000,4.940000,0
e,4,2.610000,0.000000,3.060000,0.000000,5.670000,0
e,8,9.850000,0.030000,3.270000,0.020000,13.170000,0
e,16,18.240000,0.890000,4.450000,0.430000,24.010000,0
